"","species","area.km2","status"
"8495","Pilgerodendron uviferum",476655.933036711,"NT"
"8496","Pinus culminicola",51959.0206829993,"NT"
"8497","Pinus ayacahuite",334511.767490569,"NT"
"8498","Pinus devoniana",834807.624274291,"NT"
"8499","Pinus pinceana",133231.178928383,"NT"
"8500","Pinus luchuensis",797873.646683025,"NT"
"8501","Pinus occidentalis",104501.820747073,"NT"
"8502","Pinus hartwegii",401621.102610126,"NT"
"8503","Pinus maximinoi",588184.535807723,"NT"
"8504","Pinus montezumae",475889.751770566,"NT"
"8505","Pinus pseudostrobus",505374.397475348,"NT"
"8506","Picea omorika",9557234.18412041,"NT"
"8507","Pinus aristata",213893.121586224,"NT"
"8508","Pinus arizonica",855602.474065425,"NT"
"8509","Pinus brutia",6223428.47079704,"NT"
"8510","Pinus engelmannii",603941.307283012,"NT"
"8511","Pinus glabra",518526.005713712,"NT"
"8512","Pinus greggii",615739.94389521,"NT"
"8513","Pinus heldreichii",191884.452471216,"NT"
"8514","Pinus leiophylla",878927.26858484,"NT"
"8515","Pinus massoniana",4124971.96008,"NT"
"8516","Pinus maximartinezii",338727.182820876,"NT"
"8517","Pinus merkusii",2328498.18572967,"NT"
"8518","Pinus morrisonicola",29954.6395853767,"NT"
"8519","Pinus nigra",25799209.2485408,"NT"
"8520","Pinus parviflora",133932977.399291,"NT"
"8521","Picea jezoensis",5033242.38548278,"NT"
"8522","Picea morrisonicola",34542.061501659,"NT"
"8523","Picea obovata",15458417.5300212,"NT"
"8524","Picea orientalis",244149.361068347,"NT"
"8525","Picea schrenkiana",2048507.44537357,"NT"
"8526","Pinus bungeana",5001960.4157108,"NT"
"8527","Pinus caribaea",14049545.1516436,"NT"
"8528","Pinus densiflora",1710780.32985401,"NT"
"8529","Pinus kesiya",2456792.91024922,"NT"
"8530","Libocedrus plumosa",496373.753137636,"NT"
"8531","Libocedrus bidwillii",391179.713824958,"NT"
"8532","Macrozamia pauli-guilielmi",18524.8962346471,"VU"
"8533","Macrozamia douglasii",8249.13207590463,"VU"
"8534","Macrozamia fraseri",77324.5157217147,"NT"
"8535","Macrozamia lucida",47979.5898216329,"NT"
"8536","Macrozamia macdonnellii",151761.273052826,"NT"
"8537","Macrozamia moorei",953468.168977809,"NT"
"8538","Macrozamia riedlei",250594.372020107,"NT"
"8539","Macrozamia spiralis",116814.874299052,"NT"
"8540","Manoao colensoi",180280.020553921,"NT"
"8541","Juniperus monticola",89744.9919917318,"NT"
"8542","Juniperus procera",1798115.83032243,"NT"
"8543","Juniperus pseudosabina",2869970.61123411,"NT"
"8544","Juniperus recurva",823856.070226746,"NT"
"8545","Juniperus rigida",5158135.87662089,"NT"
"8546","Juniperus scopulorum",3245472.60099908,"NT"
"8547","Juniperus squamata",9784108.60453443,"NT"
"8548","Juniperus thurifera",557144.797800768,"NT"
"8549","Lagarostrobos franklinii",52918.5581377932,"NT"
"8550","Larix gmelinii",11088414.2803123,"NT"
"8551","Larix sibirica",22114743.3295746,"NT"
"8552","Lepidothamnus fonkii",326413.426353927,"NT"
"8553","Lepidothamnus intermedius",268403.370421067,"NT"
"8554","Lepidothamnus laxifolius",241275.655434127,"NT"
"8555","Lepidozamia hopei",37518.0646153023,"NT"
"8556","Lepidozamia peroffskyana",122528.414445244,"NT"
"8557","Macrozamia communis",95018.0665457019,"NT"
"8558","Nageia nagi",1780909.41401307,"NT"
"8559","Keteleeria davidiana",89051.1445802765,"NT"
"8560","Juniperus formosana",1184704.30016177,"NT"
"8561","Juniperus excelsa",2350206.05787056,"NT"
"8562","Gnetum gnemon",4300227.81814202,"NT"
"8563","Gnetum luofuense",556431.971922895,"NT"
"8564","Juniperus chinensis",210565771.501824,"NT"
"8565","Juniperus ashei",440293.065221872,"NT"
"8566","Juniperus coahuilensis",1145114.57460259,"NT"
"8567","Juniperus flaccida",1194223.88424185,"NT"
"8568","Fitzroya cupressoides",248245.687911808,"NT"
"8569","Juniperus cedrus",102357.780581474,"NT"
"8570","Juniperus drupacea",251491.684202262,"NT"
"8571","Encephalartos trispinosus",72200.1198996949,"NT"
"8572","Encephalartos lehmannii",55531.9420821114,"NT"
"8573","Encephalartos longifolius",57707.387577515,"NT"
"8574","Encephalartos natalensis",75402.9731303091,"NT"
"8575","Encephalartos transvenosus",189603.955400182,"NT"
"8576","Encephalartos villosus",521593.518619291,"NT"
"8577","Halocarpus kirkii",46854.1858152568,"NT"
"8578","Halocarpus biformis",291219.66106485,"NT"
"8579","Juniperus brevifolia",92382.015071157,"NT"
"8580","Juniperus bermudiana",6692138.70157475,"NT"
"8581","Encephalartos ferox",514681.029169466,"NT"
"8582","Cycas thouarsii",1406270.80196646,"NT"
"8583","Cycas seemannii",1247194.48663553,"NT"
"8584","Dacrydium araucarioides",12894.3722895953,"VU"
"8585","Dioon tomasellii",95314.7853151288,"NT"
"8586","Dioon spinulosum",9748317.51092523,"NT"
"8587","Dioon edule",196860.46247517,"NT"
"8588","Diselma archeri",20420.0325301399,"NT"
"8589","Encephalartos altensteinii",154511.856486433,"NT"
"8590","Encephalartos horridus",2072006.20264183,"NT"
"8591","Encephalartos ghellinckii",107425.597433086,"NT"
"8592","Encephalartos hildebrandtii",71670.8536556755,"NT"
"8593","Cedrus libani",3803005.79502092,"NT"
"8594","Cycas circinalis",12033871.896444,"NT"
"8595","Cunninghamia konishii",39517.8098083572,"NT"
"8596","Cycas armstrongii",71589.813803992,"NT"
"8597","Cycas calcicola",66669.9480557463,"NT"
"8598","Cycas megacarpa",56842.0865388961,"NT"
"8599","Cycas media",3414721.4796183,"NT"
"8600","Cycas micronesica",221574.025828892,"NT"
"8601","Araucaria bidwillii",7508539.65867497,"NT"
"8602","Cedrus atlantica",5671071.97536347,"NT"
"8603","Callitris verrucosa",1543446.60829563,"NT"
"8604","Austrocedrus chilensis",226595.347496944,"NT"
"8605","Agathis microstachya",61512.5779351887,"NT"
"8606","Agathis ovata",12894.3722895953,"VU"
"8607","Athrotaxis cupressoides",30644.5323709531,"NT"
"8608","Bowenia spectabilis",165908.991480352,"NT"
"8609","Callitris baileyi",64761.436188476,"NT"
"8610","Callitris macleayana",186837.37277225,"NT"
"8611","Callitris muelleri",42547.1494618751,"NT"
"8612","Calocedrus formosana",50514.5885481137,"NT"
"8613","Cedrus brevifolia",4017.63053204084,"EN"
"8614","Abies firma",247606.226846008,"NT"
"8615","Abies holophylla",2007940.61211532,"NT"
"8616","Abies nephrolepis",1793476.69654667,"NT"
"8617","Abies sibirica",12353837.8215805,"NT"
"8618","Abies spectabilis",1154101.1183805,"NT"
"8619","Abies densa",1274335.25667226,"NT"
"8620","Abies fraseri",55795.6515391891,"NT"
"8621","Abies alba",4871484.19740098,"NT"
"8622","Abies guatemalensis",127153.66632692,"NT"
"8623","Afrocarpus falcatus",5170393.04089053,"NT"
"8624","Gnidia anomala",62734.793846963,"NT"
"8625","Gnaphalium uliginosum",794594.569753525,"NT"
"8626","Vicia caroliniana",1876636.57669187,"NT"
"8627","Paronychia canadensis",1822132.07226921,"NT"
"8628","Rudbeckia alpicola",3176.78800166324,"EN"
"8629","Senna hebecarpa",2081507.78549751,"NT"
"8630","Asperula tinctoria",4785483.19383288,"NT"
"8631","Galium tinctorium",4993970.37850964,"NT"
"8632","Rudbeckia triloba",6561031.7978658,"NT"
"8633","Cynanchum laeve",2255399.64913397,"NT"
"8634","Oenothera tetragona",1586230.09164173,"NT"
"8635","Verbesina occidentalis",1023343.55164097,"NT"
"8636","Eupatorium hyssopifolium",1743643.90147024,"NT"
"8637","Angelonia angustifolia",40032817.8886953,"NT"
"8638","Soldanella pusilla",237940.093241812,"NT"
"8639","Rondeletia inermis",288747.488412717,"NT"
"8640","Trifolium dasyphyllum",155323.878646202,"NT"
"8641","Asplenium bradleyi",511169.332401238,"NT"
"8642","Asplenium pinnatifidum",552564.712524777,"NT"
"8643","Asplenium resiliens",1795051.60031608,"NT"
"8644","Cystopteris tennesseensis",768545.258565725,"NT"
"8645","Ophioglossum engelmannii",1399087.34677808,"NT"
"8646","Ptilium crista-castrensis",23943515.6537045,"NT"
"8647","Ribes hirtellum",8100673.18513893,"NT"
"8648","Carex baileyi",343441.927626303,"NT"
"8649","Bazzania trilobata",4515284.68051566,"NT"
"8650","Securidaca virgata",195442.488732054,"NT"
"8651","Pherosphaera hookeriana",20420.0325301399,"NT"
"8652","Woodwardia kempii",767574.621125255,"NT"
"8653","Abies cephalonica",353687.096118686,"NT"
"8654","Abies durangensis",231015.656453695,"NT"
"8655","Abies koreana",1501802.98383451,"NT"
"8656","Abies nordmanniana",4609002.59477921,"NT"
"8657","Abies numidica",26166.1254080641,"NT"
"8658","Abies pinsapo",2540984.58085548,"NT"
"8659","Abies religiosa",420396.859302941,"NT"
"8660","Abies sachalinensis",568342.152748116,"NT"
"8661","Abies vejarii",43665.0092533772,"NT"
"8662","Tapeinidium pinnatum",32497.8583720325,"NT"
"8663","Acrostichum aureum",22622182.8718093,"NT"
"8664","Tmesipteris tannensis",380939.715394492,"NT"
"8665","Crepidomanes humile",1702378.04733856,"NT"
"8666","Selaginella selaginoides",12067682.4648681,"NT"
"8667","Selaginella densa",1981747.97737503,"NT"
"8668","Selaginella douglasii",21280.154963765,"NT"
"8669","Selaginella dregei",1501528.29948406,"NT"
"8670","Selaginella involvens",3409039.81578393,"NT"
"8671","Selaginella pallescens",5476253.97516104,"NT"
"8672","Selaginella rupincola",811462.467662894,"NT"
"8673","Selaginella uliginosa",771416.719541999,"NT"
"8674","Selaginella underwoodii",997173.834409994,"NT"
"8675","Selliguea quasidivaricata",1213350.69274204,"NT"
"8676","Pteris bahamensis",85009.0690233597,"NT"
"8677","Pteris incompleta",64797.3706128597,"NT"
"8678","Pteris longipes",1893718.16043547,"NT"
"8679","Selaginella acanthonota",185428.625241294,"NT"
"8680","Polystichum tripteron",1635752.53965683,"NT"
"8681","Polystichum speciosissimum",785135.79625728,"NT"
"8682","Polypodium interjectum",3859954.37149283,"NT"
"8683","Polystichum parvipinnulum",20518.0244879899,"NT"
"8684","Pellaea cordifolia",693248.070257111,"NT"
"8685","Pleopeltis polylepis",1688306.02812414,"NT"
"8686","Pleopeltis macrocarpa",18444883.018733,"NT"
"8687","Ophioglossum lusitanicum",5472244.9692918,"NT"
"8688","Plagiogyria falcata",1957623.4281423,"NT"
"8689","Microgramma heterophylla",500232.405922901,"NT"
"8690","Microgramma piloselloides",750388.972958193,"NT"
"8691","Odontosoria aculeata",506130.42196015,"NT"
"8692","Lepisorus pseudoussuriensis",20702.788413626,"NT"
"8693","Leptopteris hymenophylloides",414707.630047158,"NT"
"8694","Lygodium longifolium",3681039.39564331,"NT"
"8695","Hymenophyllum lanceolatum",34857.3575025316,"NT"
"8696","Isoetes histrix",1586722.74411962,"NT"
"8697","Hymenophyllum sanguinolentum",418792.02940056,"NT"
"8698","Hymenophyllum bivalve",355561.815531594,"NT"
"8699","Hymenophyllum cupressiforme",561288.964700696,"NT"
"8700","Hymenophyllum plicatum",264304.779982332,"NT"
"8701","Hypolepis dicksonioides",370806.36282805,"NT"
"8702","Hypolepis rufobarbata",333816.364312989,"NT"
"8703","Elaphoglossum peltatum",1348645.69098207,"NT"
"8704","Dryopteris villarii",205167.988554206,"NT"
"8705","Dryopteris amurensis",626455.034275349,"NT"
"8706","Dryopteris erythrosora",7895178.83387987,"NT"
"8707","Dryopteris oreades",691531.596696457,"NT"
"8708","Dryopteris fuscipes",3339677.53462366,"NT"
"8709","Dryopteris polita",25228.5685677412,"NT"
"8710","Diplazium viridissimum",55746.539326692,"NT"
"8711","Cystopteris laurentiana",374933.159750019,"NT"
"8712","Cyrtomium caryotideum",983560.050736896,"NT"
"8713","Dictymia brownii",361727.283548335,"NT"
"8714","Deparia lancea",2172528.94888565,"NT"
"8715","Dennstaedtia hirsuta",3935970.46475432,"NT"
"8716","Diplazium maonense",210303.159661359,"NT"
"8717","Ceratopteris pteridoides",11059364.6360385,"NT"
"8718","Cheiropleuria bicuspis",623702.16366468,"NT"
"8719","Cheilanthes chusana",2106951.14385217,"NT"
"8720","Astrolepis sinuata",1750894.53311136,"NT"
"8721","Blechnum nudum",756910.395856607,"NT"
"8722","Blechnum hastatum",402971.450037157,"NT"
"8723","Blechnum minus",1042554.55340157,"NT"
"8724","Blechnum wattsii",531216.948977946,"NT"
"8725","Bolbitis appendiculata",8003333.16643759,"NT"
"8726","Athyrium arisanense",95140.3836516921,"NT"
"8727","Bommeria pedata",464130.101781091,"NT"
"8728","Athyrium delavayi",634640.92174632,"NT"
"8729","Asplenium wilfordii",1368819.77129733,"NT"
"8730","Asplenium wrightii",3837220.92924769,"NT"
"8731","Blechnum microphyllum",190382.075908179,"NT"
"8732","Asplenium ensiforme",1527805.13395912,"NT"
"8733","Asplenium hemionitis",99016.7707928591,"NT"
"8734","Asplenium sagittatum",2020306.96813962,"NT"
"8735","Asplenium lamprophyllum",216610.762132359,"NT"
"8736","Asplenium foreziense",238268.558223652,"NT"
"8737","Arachniodes rhomboidea",2744145.1859286,"NT"
"8738","Anemia phyllitidis",3628601.89806502,"NT"
"8739","Anemia tomentosa",3613964.59285166,"NT"
"8740","Antrophyum obovatum",2058258.79030448,"NT"
"8741","Actinostachys pennula",5806769.20096916,"NT"
"8742","Senna glutinosa",3917095.57104622,"NT"
"8743","Adiantopsis chlorophylla",1077180.37000686,"NT"
"8744","Adiantum edgeworthii",10274631.057023,"NT"
"8745","Adiantum fragile",198168.178559553,"NT"
"8746","Adiantum philippense",16292979.9188427,"NT"
"8747","Astragalus mongholicus",8949967.92075913,"NT"
"8748","Indigofera ionii",18388.5167254982,"VU"
"8749","Indigofera melanadenia",464170.527954309,"NT"
"8750","Podalyria myrtillifolia",109919.123771014,"NT"
"8751","Crotalaria albida",4041105.33143,"NT"
"8752","Tephrosia lupinifolia",1437153.71743355,"NT"
"8753","Vicia tenuifolia",17343094.2298423,"NT"
"8754","Vicia narbonensis",9988564.22190761,"NT"
"8755","Uraria picta",1807220.2810588,"NT"
"8756","Tephrosia villosa",6235937.09823573,"NT"
"8757","Tephrosia onobrychoides",926060.102179656,"NT"
"8758","Thermopsis montana",1819560.75829277,"NT"
"8759","Trifolium africanum",388944.155117218,"NT"
"8760","Trifolium canescens",354642.269753132,"NT"
"8761","Trifolium parryi",176014.513131861,"NT"
"8762","Trifolium scabrum",4212463.46982912,"NT"
"8763","Vicia amoena",10031588.8352062,"NT"
"8764","Vicia galeata",98021.7794622035,"NT"
"8765","Vicia minutiflora",1159116.81257924,"NT"
"8766","Vicia pisiformis",1799743.05105403,"NT"
"8767","Zapoteca formosa",1853912.6380691,"NT"
"8768","Trifolium wigginsii",4085.05268923099,"EN"
"8769","Vicia johannis",1851303.70416246,"NT"
"8770","Vicia ohwiana",13850.1871657098,"VU"
"8771","Rhynchosia minima",61109898.3695389,"NT"
"8772","Rhynchosia senna",2918443.62071643,"NT"
"8773","Rhynchosia totta",2638258.81324225,"NT"
"8774","Senna macranthera",11823398.305139,"NT"
"8775","Senna pendula",28244876.4716308,"NT"
"8776","Senna spectabilis",32344807.8418563,"NT"
"8777","Sesbania cannabina",23144491.4542985,"NT"
"8778","Sophora flavescens",5089715.50967045,"NT"
"8779","Sophora nuttalliana",1295436.6533806,"NT"
"8780","Senna pallida",6173876.93103825,"NT"
"8781","Senna skinneri",605424.857656595,"NT"
"8782","Schotia afra",755589.884025274,"NT"
"8783","Samanea tubulosa",6898985.70321539,"NT"
"8784","Sophora denudata",1372607.22684002,"NT"
"8785","Swartzia simplex",8539607.26012623,"NT"
"8786","Phyllodium pulchellum",8944248.61294998,"NT"
"8787","Oxytropis lambertii",2693172.6748246,"NT"
"8788","Phaseolus polystachios",1492020.42576162,"NT"
"8789","Pisum fulvum",1744477.65825145,"NT"
"8790","Poitea punicea",15270.2090259313,"VU"
"8791","Pomaria jamesii",707547.733554969,"NT"
"8792","Peltophorum africanum",3535470.71862823,"NT"
"8793","Petalostylis labicheoides",4557840.50594302,"NT"
"8794","Platypodium elegans",3716955.8667066,"NT"
"8795","Podolobium ilicifolium",198937.294997153,"NT"
"8796","Pultenaea euchila",253287.422380042,"NT"
"8797","Pultenaea procumbens",225866.795604204,"NT"
"8798","Phyllota squarrosa",14858.5841787358,"VU"
"8799","Psoralea repens",63575.5925248747,"NT"
"8800","Oxytropis squammulosa",1976330.11546891,"NT"
"8801","Oxytropis floribunda",1521684.41309922,"NT"
"8802","Oxytropis lanata",3485633.44280581,"NT"
"8803","Psoralea fascicularis",5005.50478079742,"VU"
"8804","Neonotonia wightii",5333832.26259808,"NT"
"8805","Mimosa bimucronata",2236529.13961873,"NT"
"8806","Mimosa albida",10944449.3338819,"NT"
"8807","Millettia pulchra",1383278.81290753,"NT"
"8808","Medicago cretacea",95112.4013433033,"NT"
"8809","Millettia nitida",4579558.02594407,"NT"
"8810","Lupinus kingii",448578.901985349,"NT"
"8811","Lupinus nootkatensis",6847764.64761275,"NT"
"8812","Lupinus westianus",28151.1368353942,"NT"
"8813","Lotus tetragonolobus",1090619.52520642,"NT"
"8814","Macrolobium acaciifolium",5006360.01575141,"NT"
"8815","Lysiloma acapulcense",1107835.34233885,"NT"
"8816","Lupinus pubescens",757567.805960165,"NT"
"8817","Lonchocarpus rugosus",996840.195592962,"NT"
"8818","Indigofera linifolia",10432867.8759141,"NT"
"8819","Lackeya multiflora",419305.564011586,"NT"
"8820","Indigofera miniata",2318446.14813262,"NT"
"8821","Inga marginata",4872356.58549383,"NT"
"8822","Lespedeza hirta",2916081.31145742,"NT"
"8823","Lespedeza thunbergii",4864355.78656463,"NT"
"8824","Indigofera hendecaphylla",23258024.5296477,"NT"
"8825","Indigofera filifolia",52577.2646504596,"NT"
"8826","Isotropis cuneifolia",304394.370177828,"NT"
"8827","Lathyrus pallescens",1317396.01732781,"NT"
"8828","Lathyrus rotundifolius",1447482.07912161,"NT"
"8829","Indigofera monophylla",989411.299713537,"NT"
"8830","Jacksonia furcellata",215062.819735029,"NT"
"8831","Galactia tenuiflora",5386761.606422,"NT"
"8832","Genista tridentata",306575.600488137,"NT"
"8833","Geoffroea decorticans",2811066.53723762,"NT"
"8834","Hoffmannseggia repens",19511.58343385,"VU"
"8835","Hymenaea courbaril",14828586.0899225,"NT"
"8836","Genista sagittalis",1202473.20543071,"NT"
"8837","Genista tenera",2080.56231282383,"EN"
"8838","Genista fasselata",12117.8500841944,"VU"
"8839","Indigofera daleoides",1491674.83610921,"NT"
"8840","Gastrolobium spinosum",309429.411631153,"NT"
"8841","Gompholobium glabratum",80785.3763024815,"NT"
"8842","Indigofera bungeana",4399682.10837083,"NT"
"8843","Eriosema kraussianum",259354.670966641,"NT"
"8844","Erythrina latissima",389747.298703072,"NT"
"8845","Erythrina senegalensis",3582443.50987769,"NT"
"8846","Erythrina variegata",32914539.9313859,"NT"
"8847","Eysenhardtia polystachya",1678594.17162861,"NT"
"8848","Dumasia villosa",3679866.97542235,"NT"
"8849","Desmodium grahamii",582238.014135054,"NT"
"8850","Desmodium intortum",8347606.68708743,"NT"
"8851","Desmodium lindheimeri",97195.3158781825,"NT"
"8852","Desmodium nuttallii",1380949.2290647,"NT"
"8853","Ebenopsis ebano",904939.98513791,"NT"
"8854","Detarium microcarpum",4934547.85911092,"NT"
"8855","Echinospartum boissieri",32543.8718834275,"NT"
"8856","Diphysa occidentalis",322152.597480838,"NT"
"8857","Enterolobium timbouva",2029685.80890253,"NT"
"8858","Crotalaria micans",35394082.182938,"NT"
"8859","Crotalaria pumila",5150146.02706731,"NT"
"8860","Dalea bicolor",1621535.91166365,"NT"
"8861","Dalea compacta",423076.531795343,"NT"
"8862","Dalea lasiathera",110621.42420669,"NT"
"8863","Dalea obovata",74908.3354817548,"NT"
"8864","Dalea scandens",237190.351987688,"NT"
"8865","Daviesia physodes",80596.9286181679,"NT"
"8866","Daviesia nudiflora",73192.8042862146,"NT"
"8867","Daviesia squarrosa",137906.902666833,"NT"
"8868","Chamaecrista desvauxii",9804518.17298495,"NT"
"8869","Chamaecrista glandulosa",848249.72581091,"NT"
"8870","Chamaecrista lineata",228713.930195214,"NT"
"8871","Copaifera langsdorffii",7253172.33440887,"NT"
"8872","Crotalaria cunninghamii",3030635.84819596,"NT"
"8873","Crotalaria eremaea",1135771.60928758,"NT"
"8874","Chloroleucon mangense",1819740.0792779,"NT"
"8875","Chamaecrista ensiformis",1025552.74849544,"NT"
"8876","Chamaecrista absus",19673014.2676099,"NT"
"8877","Cajanus cajan",40141911.1566464,"NT"
"8878","Cajanus scarabaeoides",15210121.4828509,"NT"
"8879","Canavalia sericea",524238.385546663,"NT"
"8880","Cercis chinensis",5390880.70743565,"NT"
"8881","Bossiaea lenticularis",36153.5637967084,"NT"
"8882","Carmichaelia monroi",115700.178265415,"NT"
"8883","Calliandra peninsularis",27711.8894797645,"NT"
"8884","Astragalus sesameus",1405120.57385241,"NT"
"8885","Astragalus williamsii",285424.206384778,"NT"
"8886","Baphia nitida",3028153.0903977,"NT"
"8887","Bauhinia forficata",5280317.85845893,"NT"
"8888","Bauhinia acuminata",5458568.71029671,"NT"
"8889","Astragalus tenuifolius",1061647.63646694,"NT"
"8890","Astragalus wolgensis",957823.17779953,"NT"
"8891","Astragalus crassicarpus",3314946.73994307,"NT"
"8892","Astragalus flexuosus",2008163.25541633,"NT"
"8893","Astragalus miser",1045228.83331654,"NT"
"8894","Astragalus garbancillo",694930.635706033,"NT"
"8895","Astragalus buschiorum",426668.518440543,"NT"
"8896","Astragalus cobrensis",174292.490872547,"NT"
"8897","Astragalus coltonii",107858.936251956,"NT"
"8898","Amorpha ouachitensis",47337.490702123,"NT"
"8899","Aspalathus bracteata",94343.7574470119,"NT"
"8900","Aspalathus capitata",3341.00978860885,"EN"
"8901","Aspalathus triquetra",11999.7948677871,"VU"
"8902","Aspalathus serpens",20085.9197628042,"NT"
"8903","Aspalathus sanguinea",28886.5915729955,"NT"
"8904","Astragalus asper",2205584.79174958,"NT"
"8905","Adesmia microphylla",112617.362455044,"NT"
"8906","Adenolobus pechuelii",133354.629831545,"NT"
"8907","Adenocarpus viscosus",8192.86055498255,"VU"
"8908","Acacia lanigera",480942.644962789,"NT"
"8909","Acacia mitchellii",135025.896957547,"NT"
"8910","Paraserianthes lophantha",48378508.4414631,"NT"
"8911","Acacia pendula",1548436.93476718,"NT"
"8912","Acacia ulicifolia",951738.24865261,"NT"
"8913","Acacia viscidula",440363.892824671,"NT"
"8914","Acacia alpina",134070.98635004,"NT"
"8915","Acacia glaucocarpa",224566.163905943,"NT"
"8916","Acacia falcata",448512.941420605,"NT"
"8917","Acacia excelsa",959907.89000822,"NT"
"8918","Curcuma caulina",195771.394125567,"NT"
"8919","Stipa lessingiana",3707278.25051704,"NT"
"8920","Sparganium glomeratum",12497176.472554,"NT"
"8921","Curcuma australasica",3325802.79507145,"NT"
"8922","Bulbine favosa",649888.127535666,"NT"
"8923","Xyris gracilis",313836.822573429,"NT"
"8924","Sporobolus discosporus",361004.976032103,"NT"
"8925","Psathyrostachys juncea",8184006.87630138,"NT"
"8926","Paspalum repens",9604691.09873878,"NT"
"8927","Pharus latifolius",4030743.88444979,"NT"
"8928","Poa angustifolia",7465309.38182973,"NT"
"8929","Glyceria septentrionalis",2923319.76094519,"NT"
"8930","Lasiacis divaricata",5052168.45895465,"NT"
"8931","Panicum effusum",3853599.01518838,"NT"
"8932","Calamagrostis inexpansa",11610750.9916071,"NT"
"8933","Cottea pappophoroides",716100.180964202,"NT"
"8934","Cymbopogon obtectus",4156681.46018731,"NT"
"8935","Chionochloa rigida",161270.565592759,"NT"
"8936","Aegilops biuncialis",7491726.16121046,"NT"
"8937","Vanda tessellata",2785398.68554017,"NT"
"8938","Thelymitra cyanea",600073.034537256,"NT"
"8939","Specklinia picta",1774119.64899294,"NT"
"8940","Platanthera tipuloides",1731090.99746764,"NT"
"8941","Pterostylis mutica",1223858.85042235,"NT"
"8942","Pleurothallis rowleei",186593.956980417,"NT"
"8943","Sarcochilus falcatus",192187.954034433,"NT"
"8944","Pholidota chinensis",1230527.12486644,"NT"
"8945","Pterostylis concinna",417427.702522609,"NT"
"8946","Pterostylis erecta",219467.690452017,"NT"
"8947","Pterostylis hispidula",228025.717624002,"NT"
"8948","Pterostylis squamata",385744.216648685,"NT"
"8949","Maxillaria hedwigiae",532479.93634457,"NT"
"8950","Habenaria monorrhiza",2858466.26852614,"NT"
"8951","Himantoglossum adriaticum",554591.719509114,"NT"
"8952","Gonatostylis vieillardii",25266.7078978789,"NT"
"8953","Laelia speciosa",432005.488817017,"NT"
"8954","Habenaria parviflora",1031109.69772787,"NT"
"8955","Huntleya burtii",600402.058198449,"NT"
"8956","Lepanthes mucronata",743257.306973451,"NT"
"8957","Epipactis purpurata",2615576.94175241,"NT"
"8958","Erythrorchis altissima",1148992.09784689,"NT"
"8959","Eulophia speciosa",5933368.98573146,"NT"
"8960","Dendrobium aphyllum",4061673.93901126,"NT"
"8961","Dendrobium aloifolium",4083719.56313088,"NT"
"8962","Cyrtochilum halteratum",184868.151624902,"NT"
"8963","Dactylorhiza urvilleana",282867.211556188,"NT"
"8964","Epidendrum geminiflorum",207253.802340678,"NT"
"8965","Ionopsis utricularioides",7720461.98732487,"NT"
"8966","Caladenia dimorpha",108015.348732921,"NT"
"8967","Caladenia catenata",1294861.89246995,"NT"
"8968","Caladenia brownii",51860.2383350658,"NT"
"8969","Caladenia cracens",104201.727946513,"NT"
"8970","Caladenia radialis",157784.524150862,"NT"
"8971","Musa acuminata",23853754.1148918,"NT"
"8972","Bletia ensifolia",293238.174062146,"NT"
"8973","Ansellia africana",3886318.02964812,"NT"
"8974","Brassia verrucosa",754438.862627897,"NT"
"8975","Ensete ventricosum",8166686.14694854,"NT"
"8976","Tacca leontopetaloides",20210063.5232421,"NT"
"8977","Heliconia farinosa",918966.556864372,"NT"
"8978","Geissorhiza schinzii",85073.7277181121,"NT"
"8979","Gladiolus oppositiflorus",152901.064291984,"NT"
"8980","Gladiolus patersoniae",87599.9516372295,"NT"
"8981","Freesia corymbosa",64634.8580916317,"NT"
"8982","Cyperus grayi",86833.2757185524,"NT"
"8983","Scleria triglomerata",3368694.55363205,"NT"
"8984","Carex conjuncta",1162730.932119,"NT"
"8985","Scleria bracteata",729441.691731396,"NT"
"8986","Mesomelaena pseudostygia",73331.3093431924,"NT"
"8987","Cyperus dubius",24753751.4574046,"NT"
"8988","Scleria mackaviensis",870577.996937141,"NT"
"8989","Fimbristylis dichotoma",47969911.004262,"NT"
"8990","Carex conoidea",1864893.61162205,"NT"
"8991","Carex digitalis",2875507.25593187,"NT"
"8992","Carex breviculmis",17177736.1851483,"NT"
"8993","Carex fissa",436944.435674195,"NT"
"8994","Carex lachenalii",27323221.8032055,"NT"
"8995","Carex louisianica",1051987.44368507,"NT"
"8996","Gloriosa superba",27857451.8401346,"NT"
"8997","Carex remota",4483085.55332979,"NT"
"8998","Commelina africana",5513492.66632844,"NT"
"8999","Carex maorica",422329.991478853,"NT"
"9000","Carex aethiopica",77306.2124461853,"NT"
"9001","Vriesea bituminosa",340536.450724211,"NT"
"9002","Carex distachya",1643760.39215981,"NT"
"9003","Costus laevis",4385401.58501287,"NT"
"9004","Callisia gracilis",513020.430890998,"NT"
"9005","Tillandsia capitata",662211.559974578,"NT"
"9006","Tillandsia brachycaulos",994972.540509481,"NT"
"9007","Tillandsia limbata",368083.952678189,"NT"
"9008","Tillandsia geminiflora",1253557.46219497,"NT"
"9009","Tillandsia ionantha",960923.41174162,"NT"
"9010","Tillandsia latifolia",727776.907958702,"NT"
"9011","Pitcairnia nigra",288677.814005531,"NT"
"9012","Deuterocohnia chrysantha",19668.5480497512,"VU"
"9013","Encholirium spectabile",1568012.32717546,"NT"
